
The following have been reloaded with a version change:
  1) linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-h6soa57 => linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-w7ngxar
  2) linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-cqof5qs => linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-c5gajon

WARNING:bayesflow:When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use
with torch.enable_grad():
in contexts where you need gradients (e.g. custom training loops).
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 29 Model: 9 damping_factor_t
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
Moving prior to device: cpu
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|        time_embedding.0.scale        |     1      |
|       time_embedding.1.weight        |     64     |
|        time_embedding.1.bias         |     8      |
|   blocks.res_blocks.0.dense.weight   |    7168    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    7168    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 280403
gaussian_flat9_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.4630, Valid Loss: 14.3656
Epoch 2/1000, Loss: 16.2149, Valid Loss: 16.6226
Epoch 3/1000, Loss: 15.2364, Valid Loss: 13.9589
Epoch 4/1000, Loss: 15.4402, Valid Loss: 12.4203
Epoch 5/1000, Loss: 15.8749, Valid Loss: 14.8761
Epoch 6/1000, Loss: 15.2089, Valid Loss: 15.8987
Epoch 7/1000, Loss: 16.1718, Valid Loss: 16.9955
Epoch 8/1000, Loss: 14.9685, Valid Loss: 19.1736
Epoch 9/1000, Loss: 15.4823, Valid Loss: 15.3340
Epoch 10/1000, Loss: 15.6020, Valid Loss: 13.9724
Epoch 11/1000, Loss: 13.9517, Valid Loss: 14.7379
Epoch 12/1000, Loss: 15.6144, Valid Loss: 13.0790
Epoch 13/1000, Loss: 14.5176, Valid Loss: 14.8499
Epoch 14/1000, Loss: 15.0633, Valid Loss: 16.1591
Epoch 15/1000, Loss: 14.3744, Valid Loss: 17.7143
Epoch 16/1000, Loss: 14.1882, Valid Loss: 14.7904
Epoch 17/1000, Loss: 15.0189, Valid Loss: 15.4516
Epoch 18/1000, Loss: 15.5032, Valid Loss: 17.9477
Epoch 19/1000, Loss: 15.8495, Valid Loss: 15.3914
Epoch 20/1000, Loss: 14.0349, Valid Loss: 14.7433
Epoch 21/1000, Loss: 15.5263, Valid Loss: 17.1709
Epoch 22/1000, Loss: 14.8791, Valid Loss: 13.8519
Epoch 23/1000, Loss: 14.7694, Valid Loss: 13.7846
Epoch 24/1000, Loss: 14.3782, Valid Loss: 11.6973
Epoch 25/1000, Loss: 15.9160, Valid Loss: 15.6782
Epoch 26/1000, Loss: 14.6460, Valid Loss: 13.8467
Epoch 27/1000, Loss: 14.5405, Valid Loss: 12.3806
Epoch 28/1000, Loss: 15.4651, Valid Loss: 13.3883
Epoch 29/1000, Loss: 14.8234, Valid Loss: 12.4060
Epoch 30/1000, Loss: 15.6402, Valid Loss: 14.8619
Epoch 31/1000, Loss: 15.5625, Valid Loss: 12.8818
Epoch 32/1000, Loss: 14.7539, Valid Loss: 15.4801
Epoch 33/1000, Loss: 15.1297, Valid Loss: 14.9012
Epoch 34/1000, Loss: 14.9635, Valid Loss: 13.6737
Epoch 35/1000, Loss: 15.0798, Valid Loss: 12.9399
Epoch 36/1000, Loss: 15.6029, Valid Loss: 18.4752
Epoch 37/1000, Loss: 15.0745, Valid Loss: 17.4335
Epoch 38/1000, Loss: 14.8286, Valid Loss: 16.0924
Epoch 39/1000, Loss: 13.8563, Valid Loss: 14.2126
Epoch 40/1000, Loss: 14.9013, Valid Loss: 16.1865
Epoch 41/1000, Loss: 14.7210, Valid Loss: 17.8433
Epoch 42/1000, Loss: 15.0121, Valid Loss: 15.1847
Epoch 43/1000, Loss: 14.3422, Valid Loss: 11.4404
Epoch 44/1000, Loss: 14.1952, Valid Loss: 15.0157
Epoch 45/1000, Loss: 15.5557, Valid Loss: 15.6126
Epoch 46/1000, Loss: 15.2665, Valid Loss: 14.5625
Epoch 47/1000, Loss: 14.3352, Valid Loss: 15.9579
Epoch 48/1000, Loss: 15.8783, Valid Loss: 13.1235
Epoch 49/1000, Loss: 14.7529, Valid Loss: 13.4568
Epoch 50/1000, Loss: 14.3985, Valid Loss: 15.9784
Epoch 51/1000, Loss: 15.2632, Valid Loss: 13.7676
Epoch 52/1000, Loss: 14.9523, Valid Loss: 14.5213
Epoch 53/1000, Loss: 13.9086, Valid Loss: 13.9232
Epoch 54/1000, Loss: 14.8603, Valid Loss: 14.7714
Epoch 55/1000, Loss: 15.1962, Valid Loss: 11.1625
Epoch 56/1000, Loss: 14.7592, Valid Loss: 15.1707
Epoch 57/1000, Loss: 14.3238, Valid Loss: 19.2153
Epoch 58/1000, Loss: 14.8891, Valid Loss: 12.7161
Epoch 59/1000, Loss: 14.8498, Valid Loss: 13.4082
Epoch 60/1000, Loss: 15.4051, Valid Loss: 17.6212
Epoch 61/1000, Loss: 15.1848, Valid Loss: 23.2113
Epoch 62/1000, Loss: 13.9058, Valid Loss: 13.6205
Epoch 63/1000, Loss: 15.8055, Valid Loss: 14.3750
Epoch 64/1000, Loss: 14.8608, Valid Loss: 16.8071
Epoch 65/1000, Loss: 14.7721, Valid Loss: 13.1757
Epoch 66/1000, Loss: 16.0939, Valid Loss: 13.7224
Epoch 67/1000, Loss: 15.3144, Valid Loss: 12.8117
Epoch 68/1000, Loss: 14.9986, Valid Loss: 12.9516
Epoch 69/1000, Loss: 14.8646, Valid Loss: 14.3504
Epoch 70/1000, Loss: 15.5159, Valid Loss: 17.2131
Epoch 71/1000, Loss: 17.6967, Valid Loss: 16.6599
Epoch 72/1000, Loss: 14.8175, Valid Loss: 15.4379
Epoch 73/1000, Loss: 15.5619, Valid Loss: 14.2099
Epoch 74/1000, Loss: 13.9517, Valid Loss: 14.8144
Epoch 75/1000, Loss: 14.4902, Valid Loss: 17.1679
Epoch 76/1000, Loss: 15.6349, Valid Loss: 15.3790
Epoch 77/1000, Loss: 14.9524, Valid Loss: 16.1915
Epoch 78/1000, Loss: 14.3608, Valid Loss: 15.0890
Epoch 79/1000, Loss: 14.7717, Valid Loss: 12.6069
Epoch 80/1000, Loss: 15.9595, Valid Loss: 13.7359
Epoch 81/1000, Loss: 14.5559, Valid Loss: 13.2936
Epoch 82/1000, Loss: 15.1974, Valid Loss: 15.8842
Epoch 83/1000, Loss: 15.4728, Valid Loss: 13.1724
Epoch 84/1000, Loss: 15.2334, Valid Loss: 16.0953
Epoch 85/1000, Loss: 14.3289, Valid Loss: 13.1095
Epoch 86/1000, Loss: 14.5450, Valid Loss: 13.3729
Epoch 87/1000, Loss: 15.1871, Valid Loss: 15.0446
Epoch 88/1000, Loss: 14.9274, Valid Loss: 15.4230
Epoch 89/1000, Loss: 15.2529, Valid Loss: 14.9131
Epoch 90/1000, Loss: 15.7495, Valid Loss: 18.5950
Epoch 91/1000, Loss: 15.1429, Valid Loss: 14.7603
Epoch 92/1000, Loss: 15.0106, Valid Loss: 16.7795
Epoch 93/1000, Loss: 17.1339, Valid Loss: 16.2521
Epoch 94/1000, Loss: 14.6098, Valid Loss: 14.9641
Epoch 95/1000, Loss: 14.5732, Valid Loss: 12.6277
Epoch 96/1000, Loss: 15.2469, Valid Loss: 14.2368
Epoch 97/1000, Loss: 15.6132, Valid Loss: 15.0001
Epoch 98/1000, Loss: 15.2835, Valid Loss: 18.6095
Epoch 99/1000, Loss: 15.1287, Valid Loss: 12.2306
Epoch 100/1000, Loss: 15.2159, Valid Loss: 13.5864
Epoch 101/1000, Loss: 15.0040, Valid Loss: 14.3185
Epoch 102/1000, Loss: 15.2585, Valid Loss: 13.5933
Epoch 103/1000, Loss: 14.5595, Valid Loss: 12.1193
Epoch 104/1000, Loss: 15.1253, Valid Loss: 13.9958
Epoch 105/1000, Loss: 14.7042, Valid Loss: 15.2681
Epoch 106/1000, Loss: 14.5732, Valid Loss: 18.4406
Epoch 107/1000, Loss: 13.8905, Valid Loss: 13.5789
Epoch 108/1000, Loss: 14.9684, Valid Loss: 13.5991
Epoch 109/1000, Loss: 14.8660, Valid Loss: 16.2576
Epoch 110/1000, Loss: 15.0519, Valid Loss: 13.6615
Epoch 111/1000, Loss: 15.8989, Valid Loss: 12.7026
Epoch 112/1000, Loss: 14.6774, Valid Loss: 15.9751
Epoch 113/1000, Loss: 15.1010, Valid Loss: 14.4832
Epoch 114/1000, Loss: 14.0789, Valid Loss: 12.6578
Epoch 115/1000, Loss: 14.1938, Valid Loss: 15.8212
Epoch 116/1000, Loss: 16.2965, Valid Loss: 16.1502
