
The following have been reloaded with a version change:
  1) linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-h6soa57 => linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-w7ngxar
  2) linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-cqof5qs => linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-c5gajon

WARNING:bayesflow:When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use
with torch.enable_grad():
in contexts where you need gradients (e.g. custom training loops).
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 26 Model: 6 damping_factor_t
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
Moving prior to device: cpu
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|        time_embedding.0.scale        |     1      |
|       time_embedding.1.weight        |     64     |
|        time_embedding.1.bias         |     8      |
|   blocks.res_blocks.0.dense.weight   |    7168    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    7168    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 280403
gaussian_flat6_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.4803, Valid Loss: 13.6503
Epoch 2/1000, Loss: 15.4927, Valid Loss: 13.2862
Epoch 3/1000, Loss: 15.1695, Valid Loss: 13.4060
Epoch 4/1000, Loss: 15.6096, Valid Loss: 14.9403
Epoch 5/1000, Loss: 14.8306, Valid Loss: 17.2605
Epoch 6/1000, Loss: 14.9999, Valid Loss: 14.0797
Epoch 7/1000, Loss: 15.5520, Valid Loss: 20.4906
Epoch 8/1000, Loss: 14.2010, Valid Loss: 12.6632
Epoch 9/1000, Loss: 14.9347, Valid Loss: 19.8529
Epoch 10/1000, Loss: 15.7989, Valid Loss: 15.9881
Epoch 11/1000, Loss: 14.9399, Valid Loss: 14.0270
Epoch 12/1000, Loss: 14.6033, Valid Loss: 13.9495
Epoch 13/1000, Loss: 15.8026, Valid Loss: 14.0075
Epoch 14/1000, Loss: 14.9034, Valid Loss: 20.4748
Epoch 15/1000, Loss: 13.8607, Valid Loss: 20.2171
Epoch 16/1000, Loss: 15.0717, Valid Loss: 17.0532
Epoch 17/1000, Loss: 14.5221, Valid Loss: 17.7844
Epoch 18/1000, Loss: 14.8311, Valid Loss: 13.0163
Epoch 19/1000, Loss: 13.8817, Valid Loss: 14.9917
Epoch 20/1000, Loss: 14.8458, Valid Loss: 15.1759
Epoch 21/1000, Loss: 15.5850, Valid Loss: 15.5529
Epoch 22/1000, Loss: 15.0218, Valid Loss: 14.2108
Epoch 23/1000, Loss: 15.1649, Valid Loss: 15.5770
Epoch 24/1000, Loss: 15.7443, Valid Loss: 12.8391
Epoch 25/1000, Loss: 15.7271, Valid Loss: 14.3368
Epoch 26/1000, Loss: 14.5345, Valid Loss: 15.9713
Epoch 27/1000, Loss: 14.0333, Valid Loss: 13.9897
Epoch 28/1000, Loss: 14.6837, Valid Loss: 13.9579
Epoch 29/1000, Loss: 14.5240, Valid Loss: 15.7944
Epoch 30/1000, Loss: 15.5364, Valid Loss: 17.8630
Epoch 31/1000, Loss: 15.4942, Valid Loss: 15.5235
Epoch 32/1000, Loss: 15.0565, Valid Loss: 17.7471
Epoch 33/1000, Loss: 14.6942, Valid Loss: 15.2314
Epoch 34/1000, Loss: 15.1276, Valid Loss: 13.6630
Epoch 35/1000, Loss: 15.1347, Valid Loss: 12.2703
Epoch 36/1000, Loss: 14.3909, Valid Loss: 13.2562
Epoch 37/1000, Loss: 16.2863, Valid Loss: 14.2588
Epoch 38/1000, Loss: 14.6252, Valid Loss: 16.3260
Epoch 39/1000, Loss: 15.8641, Valid Loss: 12.3088
Epoch 40/1000, Loss: 15.3861, Valid Loss: 11.8682
Epoch 41/1000, Loss: 15.6258, Valid Loss: 14.3720
Epoch 42/1000, Loss: 15.1327, Valid Loss: 17.6134
Epoch 43/1000, Loss: 15.2110, Valid Loss: 12.3701
Epoch 44/1000, Loss: 16.3321, Valid Loss: 14.1992
Epoch 45/1000, Loss: 15.0094, Valid Loss: 13.0468
Epoch 46/1000, Loss: 15.5965, Valid Loss: 12.6829
Epoch 47/1000, Loss: 14.7328, Valid Loss: 15.5038
Epoch 48/1000, Loss: 14.7207, Valid Loss: 13.6821
Epoch 49/1000, Loss: 14.2008, Valid Loss: 16.0965
Epoch 50/1000, Loss: 15.2079, Valid Loss: 15.1270
Epoch 51/1000, Loss: 15.1496, Valid Loss: 14.9368
Epoch 52/1000, Loss: 14.4298, Valid Loss: 14.7550
Epoch 53/1000, Loss: 14.6768, Valid Loss: 13.8437
Epoch 54/1000, Loss: 15.1133, Valid Loss: 11.6326
Epoch 55/1000, Loss: 14.0528, Valid Loss: 14.2804
Epoch 56/1000, Loss: 15.2103, Valid Loss: 17.2877
Epoch 57/1000, Loss: 15.8478, Valid Loss: 20.3485
Epoch 58/1000, Loss: 14.7817, Valid Loss: 11.8403
Epoch 59/1000, Loss: 15.1878, Valid Loss: 17.0358
Epoch 60/1000, Loss: 14.8843, Valid Loss: 17.0907
Epoch 61/1000, Loss: 14.8528, Valid Loss: 14.2951
Epoch 62/1000, Loss: 15.2634, Valid Loss: 13.8606
Epoch 63/1000, Loss: 15.0616, Valid Loss: 16.2579
Epoch 64/1000, Loss: 14.7134, Valid Loss: 24.4641
Epoch 65/1000, Loss: 16.1426, Valid Loss: 13.3914
Epoch 66/1000, Loss: 15.8163, Valid Loss: 13.3396
Epoch 67/1000, Loss: 14.7267, Valid Loss: 12.5864
Epoch 68/1000, Loss: 15.5795, Valid Loss: 18.0068
Epoch 69/1000, Loss: 15.5858, Valid Loss: 18.0476
Epoch 70/1000, Loss: 15.3111, Valid Loss: 15.9018
Epoch 71/1000, Loss: 14.4336, Valid Loss: 12.6322
Epoch 72/1000, Loss: 14.9019, Valid Loss: 16.9305
Epoch 73/1000, Loss: 14.3733, Valid Loss: 16.0644
Epoch 74/1000, Loss: 15.1624, Valid Loss: 17.1251
Epoch 75/1000, Loss: 15.2114, Valid Loss: 15.6053
Epoch 76/1000, Loss: 14.9599, Valid Loss: 15.5991
Epoch 77/1000, Loss: 14.7841, Valid Loss: 15.1056
Epoch 78/1000, Loss: 15.4723, Valid Loss: 12.7771
Epoch 79/1000, Loss: 15.5726, Valid Loss: 14.8857
Epoch 80/1000, Loss: 15.3514, Valid Loss: 14.4667
Epoch 81/1000, Loss: 15.1033, Valid Loss: 12.7868
Epoch 82/1000, Loss: 15.3691, Valid Loss: 17.0658
Epoch 83/1000, Loss: 15.5573, Valid Loss: 13.2145
Epoch 84/1000, Loss: 15.2693, Valid Loss: 14.3799
Epoch 85/1000, Loss: 14.6977, Valid Loss: 14.2940
Epoch 86/1000, Loss: 15.4242, Valid Loss: 13.3284
Epoch 87/1000, Loss: 15.2299, Valid Loss: 12.5285
Epoch 88/1000, Loss: 14.9259, Valid Loss: 11.9680
Epoch 89/1000, Loss: 14.4557, Valid Loss: 16.3342
Epoch 90/1000, Loss: 15.4474, Valid Loss: 13.2118
Epoch 91/1000, Loss: 15.2197, Valid Loss: 14.1186
Epoch 92/1000, Loss: 14.9414, Valid Loss: 20.1156
Epoch 93/1000, Loss: 15.8709, Valid Loss: 17.5905
Epoch 94/1000, Loss: 14.5078, Valid Loss: 15.0727
Epoch 95/1000, Loss: 14.7770, Valid Loss: 13.1120
Epoch 96/1000, Loss: 14.8997, Valid Loss: 12.6234
Epoch 97/1000, Loss: 14.8510, Valid Loss: 16.6981
Epoch 98/1000, Loss: 15.0125, Valid Loss: 14.1429
Epoch 99/1000, Loss: 14.8795, Valid Loss: 16.6543
Epoch 100/1000, Loss: 14.9368, Valid Loss: 12.3546
Epoch 101/1000, Loss: 14.3144, Valid Loss: 12.3439
Epoch 102/1000, Loss: 14.6615, Valid Loss: 16.1349
Epoch 103/1000, Loss: 14.8873, Valid Loss: 12.3360
Epoch 104/1000, Loss: 15.4982, Valid Loss: 14.5074
Epoch 105/1000, Loss: 14.1391, Valid Loss: 13.7704
Epoch 106/1000, Loss: 13.8724, Valid Loss: 14.1104
Epoch 107/1000, Loss: 15.6125, Valid Loss: 15.3728
Epoch 108/1000, Loss: 15.1187, Valid Loss: 12.5882
Epoch 109/1000, Loss: 15.9764, Valid Loss: 13.0411
Epoch 110/1000, Loss: 14.7174, Valid Loss: 14.9141
Epoch 111/1000, Loss: 14.5241, Valid Loss: 19.9517
Epoch 112/1000, Loss: 14.8327, Valid Loss: 16.6771
Epoch 113/1000, Loss: 15.8928, Valid Loss: 19.1442
Epoch 114/1000, Loss: 15.5138, Valid Loss: 14.2067
Epoch 115/1000, Loss: 15.9565, Valid Loss: 15.4587
Epoch 116/1000, Loss: 14.6860, Valid Loss: 12.2644
