
The following have been reloaded with a version change:
  1) linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-h6soa57 => linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-w7ngxar
  2) linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-cqof5qs => linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-c5gajon

WARNING:bayesflow:When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use
with torch.enable_grad():
in contexts where you need gradients (e.g. custom training loops).
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 28 Model: 8 damping_factor_t
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
Moving prior to device: cpu
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|        time_embedding.0.scale        |     1      |
|       time_embedding.1.weight        |     64     |
|        time_embedding.1.bias         |     8      |
|   blocks.res_blocks.0.dense.weight   |    7168    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    7168    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 280403
gaussian_flat8_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.1517, Valid Loss: 15.8481
Epoch 2/1000, Loss: 14.3611, Valid Loss: 12.9402
Epoch 3/1000, Loss: 14.9866, Valid Loss: 14.4131
Epoch 4/1000, Loss: 15.9460, Valid Loss: 13.9266
Epoch 5/1000, Loss: 15.6802, Valid Loss: 19.1157
Epoch 6/1000, Loss: 15.6086, Valid Loss: 15.2369
Epoch 7/1000, Loss: 14.2415, Valid Loss: 16.0989
Epoch 8/1000, Loss: 15.2382, Valid Loss: 13.2173
Epoch 9/1000, Loss: 15.3765, Valid Loss: 14.1357
Epoch 10/1000, Loss: 14.3227, Valid Loss: 16.9674
Epoch 11/1000, Loss: 15.0958, Valid Loss: 19.4304
Epoch 12/1000, Loss: 15.7973, Valid Loss: 13.1246
Epoch 13/1000, Loss: 14.4291, Valid Loss: 14.9999
Epoch 14/1000, Loss: 14.5789, Valid Loss: 15.2701
Epoch 15/1000, Loss: 15.2711, Valid Loss: 20.8223
Epoch 16/1000, Loss: 14.5671, Valid Loss: 14.9113
Epoch 17/1000, Loss: 15.2091, Valid Loss: 14.4009
Epoch 18/1000, Loss: 14.5186, Valid Loss: 13.5847
Epoch 19/1000, Loss: 15.7836, Valid Loss: 16.4840
Epoch 20/1000, Loss: 14.4868, Valid Loss: 16.7068
Epoch 21/1000, Loss: 16.3161, Valid Loss: 11.6110
Epoch 22/1000, Loss: 15.3039, Valid Loss: 14.2179
Epoch 23/1000, Loss: 15.5568, Valid Loss: 12.9296
Epoch 24/1000, Loss: 14.6176, Valid Loss: 13.1334
Epoch 25/1000, Loss: 14.3837, Valid Loss: 15.7879
Epoch 26/1000, Loss: 15.7898, Valid Loss: 15.0568
Epoch 27/1000, Loss: 15.6471, Valid Loss: 17.0315
Epoch 28/1000, Loss: 14.6782, Valid Loss: 14.8368
Epoch 29/1000, Loss: 14.7533, Valid Loss: 16.7596
Epoch 30/1000, Loss: 14.2286, Valid Loss: 15.1624
Epoch 31/1000, Loss: 15.6282, Valid Loss: 17.1557
Epoch 32/1000, Loss: 14.9411, Valid Loss: 18.4408
Epoch 33/1000, Loss: 14.8040, Valid Loss: 14.5167
Epoch 34/1000, Loss: 14.8671, Valid Loss: 15.0981
Epoch 35/1000, Loss: 15.1463, Valid Loss: 19.4962
Epoch 36/1000, Loss: 14.9718, Valid Loss: 14.8542
Epoch 37/1000, Loss: 15.2001, Valid Loss: 12.9988
Epoch 38/1000, Loss: 15.1031, Valid Loss: 12.6160
Epoch 39/1000, Loss: 15.3390, Valid Loss: 14.5199
Epoch 40/1000, Loss: 14.6178, Valid Loss: 12.6117
Epoch 41/1000, Loss: 14.9301, Valid Loss: 20.0692
Epoch 42/1000, Loss: 15.5116, Valid Loss: 15.3415
Epoch 43/1000, Loss: 15.2288, Valid Loss: 13.3243
Epoch 44/1000, Loss: 15.3988, Valid Loss: 13.0579
Epoch 45/1000, Loss: 14.7716, Valid Loss: 16.3713
Epoch 46/1000, Loss: 14.2149, Valid Loss: 14.8013
Epoch 47/1000, Loss: 15.0466, Valid Loss: 15.2273
Epoch 48/1000, Loss: 15.2498, Valid Loss: 15.9422
Epoch 49/1000, Loss: 14.5665, Valid Loss: 14.2978
Epoch 50/1000, Loss: 15.9174, Valid Loss: 13.7056
Epoch 51/1000, Loss: 14.8915, Valid Loss: 11.8258
Epoch 52/1000, Loss: 14.8425, Valid Loss: 14.1488
Epoch 53/1000, Loss: 15.2210, Valid Loss: 15.5587
Epoch 54/1000, Loss: 15.2389, Valid Loss: 15.5674
Epoch 55/1000, Loss: 15.0973, Valid Loss: 16.9008
Epoch 56/1000, Loss: 16.0625, Valid Loss: 13.4350
Epoch 57/1000, Loss: 15.0157, Valid Loss: 13.1057
Epoch 58/1000, Loss: 14.4506, Valid Loss: 17.4708
Epoch 59/1000, Loss: 15.0584, Valid Loss: 15.3464
Epoch 60/1000, Loss: 15.5605, Valid Loss: 13.1785
Epoch 61/1000, Loss: 15.4751, Valid Loss: 17.5340
Epoch 62/1000, Loss: 15.1501, Valid Loss: 13.7438
Epoch 63/1000, Loss: 15.5782, Valid Loss: 16.2791
Epoch 64/1000, Loss: 15.4952, Valid Loss: 14.3360
Epoch 65/1000, Loss: 14.5634, Valid Loss: 13.5002
Epoch 66/1000, Loss: 14.3897, Valid Loss: 11.7949
Epoch 67/1000, Loss: 15.3063, Valid Loss: 15.6945
Epoch 68/1000, Loss: 16.0428, Valid Loss: 17.6346
Epoch 69/1000, Loss: 14.8411, Valid Loss: 14.6206
Epoch 70/1000, Loss: 14.6736, Valid Loss: 13.2464
Epoch 71/1000, Loss: 14.9401, Valid Loss: 14.1940
Epoch 72/1000, Loss: 14.6424, Valid Loss: 13.7269
Epoch 73/1000, Loss: 14.4169, Valid Loss: 13.7939
Epoch 74/1000, Loss: 14.4973, Valid Loss: 17.9177
Epoch 75/1000, Loss: 15.4806, Valid Loss: 19.2305
Epoch 76/1000, Loss: 14.6458, Valid Loss: 13.3754
Epoch 77/1000, Loss: 14.4094, Valid Loss: 16.9971
Epoch 78/1000, Loss: 15.3024, Valid Loss: 15.4768
Epoch 79/1000, Loss: 14.6497, Valid Loss: 19.4306
Epoch 80/1000, Loss: 14.8732, Valid Loss: 14.2585
Epoch 81/1000, Loss: 15.7494, Valid Loss: 13.2542
Epoch 82/1000, Loss: 14.8956, Valid Loss: 15.1172
Epoch 83/1000, Loss: 16.7221, Valid Loss: 12.8612
Epoch 84/1000, Loss: 14.7555, Valid Loss: 20.3843
Epoch 85/1000, Loss: 15.1989, Valid Loss: 15.0723
Epoch 86/1000, Loss: 14.5387, Valid Loss: 18.1188
Epoch 87/1000, Loss: 14.8560, Valid Loss: 18.1204
Epoch 88/1000, Loss: 15.0100, Valid Loss: 12.4805
Epoch 89/1000, Loss: 14.2396, Valid Loss: 16.5837
Epoch 90/1000, Loss: 14.8013, Valid Loss: 12.9493
Epoch 91/1000, Loss: 15.2359, Valid Loss: 15.9947
Epoch 92/1000, Loss: 15.8340, Valid Loss: 14.9431
Epoch 93/1000, Loss: 15.1484, Valid Loss: 14.0937
Epoch 94/1000, Loss: 14.9696, Valid Loss: 13.7133
Epoch 95/1000, Loss: 14.9171, Valid Loss: 13.7176
Epoch 96/1000, Loss: 14.2947, Valid Loss: 14.6979
Epoch 97/1000, Loss: 14.8255, Valid Loss: 12.5545
Epoch 98/1000, Loss: 16.2777, Valid Loss: 15.0436
Epoch 99/1000, Loss: 14.5706, Valid Loss: 13.5811
Epoch 100/1000, Loss: 14.7129, Valid Loss: 14.4505
Epoch 101/1000, Loss: 14.9004, Valid Loss: 15.5774
Epoch 102/1000, Loss: 15.2863, Valid Loss: 11.9569
Epoch 103/1000, Loss: 15.6674, Valid Loss: 14.4184
Epoch 104/1000, Loss: 15.7179, Valid Loss: 18.9660
Epoch 105/1000, Loss: 15.2470, Valid Loss: 12.9734
Epoch 106/1000, Loss: 15.4801, Valid Loss: 14.4974
Epoch 107/1000, Loss: 14.8192, Valid Loss: 15.2227
Epoch 108/1000, Loss: 14.8214, Valid Loss: 17.0248
Epoch 109/1000, Loss: 14.3028, Valid Loss: 13.6413
Epoch 110/1000, Loss: 15.7740, Valid Loss: 19.1988
Epoch 111/1000, Loss: 14.9562, Valid Loss: 13.5430
Epoch 112/1000, Loss: 15.1897, Valid Loss: 13.2226
Epoch 113/1000, Loss: 13.9665, Valid Loss: 14.1626
Epoch 114/1000, Loss: 14.0575, Valid Loss: 15.2476
Epoch 115/1000, Loss: 15.9209, Valid Loss: 15.8118
Epoch 116/1000, Loss: 15.3476, Valid Loss: 16.4742
