
The following have been reloaded with a version change:
  1) linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-h6soa57 => linux-rocky8-x86_64/gcc/12.2.0/libxml2/2.10.3-w7ngxar
  2) linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-cqof5qs => linux-rocky8-x86_64/gcc/12.2.0/xz/5.4.1-c5gajon

WARNING:bayesflow:When using torch backend, we need to disable autograd by default to avoid excessive memory usage. Use
with torch.enable_grad():
in contexts where you need gradients (e.g. custom training loops).
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/bayesflow/diagnostics/metrics/posterior_contraction.py:59: RuntimeWarning: Degrees of freedom <= 0 for slice
  post_vars = samples["estimates"].var(axis=1, ddof=1)
/home/jonas/hierarchical-abi/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:195: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
Exp: 24 Model: 4 damping_factor_t
Kernel type: variance_preserving, noise schedule: cosine
t_min: 0.00035210439818911254, t_max: 0.999647855758667
alpha, sigma: (tensor(1.0000), tensor(0.0006)) (tensor(0.0006), tensor(1.0000))
Moving prior to device: cpu
+--------------------------------------+------------+
|               Modules                | Parameters |
+--------------------------------------+------------+
|        time_embedding.0.scale        |     1      |
|       time_embedding.1.weight        |     64     |
|        time_embedding.1.bias         |     8      |
|   blocks.res_blocks.0.dense.weight   |    7168    |
|    blocks.res_blocks.0.dense.bias    |    256     |
| blocks.res_blocks.0.projector.weight |    7168    |
|   blocks.res_blocks.1.dense.weight   |   65536    |
|    blocks.res_blocks.1.dense.bias    |    256     |
|   blocks.res_blocks.2.dense.weight   |   65536    |
|    blocks.res_blocks.2.dense.bias    |    256     |
|   blocks.res_blocks.3.dense.weight   |   65536    |
|    blocks.res_blocks.3.dense.bias    |    256     |
|   blocks.res_blocks.4.dense.weight   |   65536    |
|    blocks.res_blocks.4.dense.bias    |    256     |
|    final_projection_linear.weight    |    2560    |
|     final_projection_linear.bias     |     10     |
+--------------------------------------+------------+
Total Trainable Params: 280403
gaussian_flat4_1score_model_v_variance_preserving_cosine_likelihood_weighting
Training v-model for 1000 epochs with learning rate 0.0005 and likelihood_weighting weighting.
Epoch 1/1000, Loss: 15.7386, Valid Loss: 17.5586
Epoch 2/1000, Loss: 14.9759, Valid Loss: 14.5907
Epoch 3/1000, Loss: 15.0686, Valid Loss: 13.1840
Epoch 4/1000, Loss: 14.7453, Valid Loss: 15.2054
Epoch 5/1000, Loss: 14.9168, Valid Loss: 15.5451
Epoch 6/1000, Loss: 15.3733, Valid Loss: 14.2850
Epoch 7/1000, Loss: 15.5677, Valid Loss: 14.1356
Epoch 8/1000, Loss: 15.5274, Valid Loss: 13.5245
Epoch 9/1000, Loss: 15.5660, Valid Loss: 15.2005
Epoch 10/1000, Loss: 15.5117, Valid Loss: 13.3159
Epoch 11/1000, Loss: 15.0065, Valid Loss: 14.8246
Epoch 12/1000, Loss: 16.4267, Valid Loss: 11.9850
Epoch 13/1000, Loss: 14.6061, Valid Loss: 12.1701
Epoch 14/1000, Loss: 14.7341, Valid Loss: 14.0903
Epoch 15/1000, Loss: 14.4455, Valid Loss: 13.7702
Epoch 16/1000, Loss: 15.8616, Valid Loss: 16.1297
Epoch 17/1000, Loss: 15.4923, Valid Loss: 18.1894
Epoch 18/1000, Loss: 14.9993, Valid Loss: 16.6209
Epoch 19/1000, Loss: 15.7903, Valid Loss: 20.4858
Epoch 20/1000, Loss: 14.1609, Valid Loss: 14.4409
Epoch 21/1000, Loss: 14.2306, Valid Loss: 13.0664
Epoch 22/1000, Loss: 15.3755, Valid Loss: 12.7232
Epoch 23/1000, Loss: 14.6109, Valid Loss: 16.6800
Epoch 24/1000, Loss: 14.9407, Valid Loss: 16.2127
Epoch 25/1000, Loss: 15.0509, Valid Loss: 13.1708
Epoch 26/1000, Loss: 14.8378, Valid Loss: 15.1797
Epoch 27/1000, Loss: 16.0650, Valid Loss: 18.0844
Epoch 28/1000, Loss: 14.1478, Valid Loss: 13.6583
Epoch 29/1000, Loss: 15.9085, Valid Loss: 13.7213
Epoch 30/1000, Loss: 14.4722, Valid Loss: 15.6431
Epoch 31/1000, Loss: 14.6728, Valid Loss: 14.9177
Epoch 32/1000, Loss: 15.1494, Valid Loss: 13.6106
Epoch 33/1000, Loss: 14.4823, Valid Loss: 15.0263
Epoch 34/1000, Loss: 14.8855, Valid Loss: 12.5445
Epoch 35/1000, Loss: 14.6983, Valid Loss: 14.4370
Epoch 36/1000, Loss: 14.9968, Valid Loss: 12.4116
Epoch 37/1000, Loss: 14.6182, Valid Loss: 12.7210
Epoch 38/1000, Loss: 15.4237, Valid Loss: 13.8475
Epoch 39/1000, Loss: 15.1769, Valid Loss: 19.6164
Epoch 40/1000, Loss: 14.7885, Valid Loss: 12.7766
Epoch 41/1000, Loss: 15.4658, Valid Loss: 14.9368
Epoch 42/1000, Loss: 14.6383, Valid Loss: 13.7980
Epoch 43/1000, Loss: 15.3693, Valid Loss: 13.2766
Epoch 44/1000, Loss: 14.7195, Valid Loss: 16.7509
Epoch 45/1000, Loss: 15.6525, Valid Loss: 13.7609
Epoch 46/1000, Loss: 15.9187, Valid Loss: 12.7693
Epoch 47/1000, Loss: 16.1343, Valid Loss: 24.1164
Epoch 48/1000, Loss: 14.5928, Valid Loss: 16.5623
Epoch 49/1000, Loss: 14.6896, Valid Loss: 11.9742
Epoch 50/1000, Loss: 14.5110, Valid Loss: 12.9689
Epoch 51/1000, Loss: 15.6168, Valid Loss: 17.0256
Epoch 52/1000, Loss: 15.1523, Valid Loss: 12.9746
Epoch 53/1000, Loss: 15.1981, Valid Loss: 12.4019
Epoch 54/1000, Loss: 19.7033, Valid Loss: 13.4012
Epoch 55/1000, Loss: 15.7285, Valid Loss: 16.2586
Epoch 56/1000, Loss: 14.3098, Valid Loss: 16.5855
Epoch 57/1000, Loss: 15.0826, Valid Loss: 15.5153
Epoch 58/1000, Loss: 17.2389, Valid Loss: 15.5971
Epoch 59/1000, Loss: 14.9533, Valid Loss: 15.1525
Epoch 60/1000, Loss: 15.1680, Valid Loss: 13.1385
Epoch 61/1000, Loss: 15.2448, Valid Loss: 16.4492
Epoch 62/1000, Loss: 15.0977, Valid Loss: 12.3799
Epoch 63/1000, Loss: 15.3260, Valid Loss: 15.0236
Epoch 64/1000, Loss: 15.2081, Valid Loss: 13.6663
Epoch 65/1000, Loss: 15.0056, Valid Loss: 19.3726
Epoch 66/1000, Loss: 15.5736, Valid Loss: 14.6226
Epoch 67/1000, Loss: 15.5508, Valid Loss: 12.7871
Epoch 68/1000, Loss: 15.4595, Valid Loss: 17.1471
Epoch 69/1000, Loss: 14.8086, Valid Loss: 16.8152
Epoch 70/1000, Loss: 14.6166, Valid Loss: 12.7106
Epoch 71/1000, Loss: 15.4443, Valid Loss: 14.6187
Epoch 72/1000, Loss: 14.3505, Valid Loss: 13.7848
Epoch 73/1000, Loss: 14.9980, Valid Loss: 15.3641
Epoch 74/1000, Loss: 15.0331, Valid Loss: 21.7157
Epoch 75/1000, Loss: 14.8294, Valid Loss: 12.6375
Epoch 76/1000, Loss: 14.3762, Valid Loss: 14.2305
Epoch 77/1000, Loss: 14.8709, Valid Loss: 11.6700
Epoch 78/1000, Loss: 15.0076, Valid Loss: 19.6457
Epoch 79/1000, Loss: 15.0734, Valid Loss: 12.1304
Epoch 80/1000, Loss: 14.5790, Valid Loss: 14.0522
Epoch 81/1000, Loss: 15.2034, Valid Loss: 13.7065
Epoch 82/1000, Loss: 14.6503, Valid Loss: 18.0806
Epoch 83/1000, Loss: 15.1319, Valid Loss: 14.8920
Epoch 84/1000, Loss: 14.1658, Valid Loss: 12.6325
Epoch 85/1000, Loss: 14.4455, Valid Loss: 12.9633
Epoch 86/1000, Loss: 16.2027, Valid Loss: 16.2013
Epoch 87/1000, Loss: 15.0607, Valid Loss: 19.6778
Epoch 88/1000, Loss: 15.3526, Valid Loss: 16.2167
Epoch 89/1000, Loss: 15.0641, Valid Loss: 16.7240
Epoch 90/1000, Loss: 19.4329, Valid Loss: 16.0463
Epoch 91/1000, Loss: 15.1700, Valid Loss: 13.1141
Epoch 92/1000, Loss: 16.3965, Valid Loss: 12.4314
Epoch 93/1000, Loss: 14.7791, Valid Loss: 13.8916
Epoch 94/1000, Loss: 14.0019, Valid Loss: 15.0622
Epoch 95/1000, Loss: 14.9838, Valid Loss: 14.2782
Epoch 96/1000, Loss: 15.3757, Valid Loss: 14.0418
Epoch 97/1000, Loss: 13.9756, Valid Loss: 14.5503
Epoch 98/1000, Loss: 14.9294, Valid Loss: 13.8754
Epoch 99/1000, Loss: 14.3207, Valid Loss: 16.3768
Epoch 100/1000, Loss: 14.9988, Valid Loss: 21.5318
Epoch 101/1000, Loss: 14.6790, Valid Loss: 15.3801
Epoch 102/1000, Loss: 14.8814, Valid Loss: 12.8868
Epoch 103/1000, Loss: 14.8031, Valid Loss: 13.3433
Epoch 104/1000, Loss: 14.0287, Valid Loss: 13.0156
Epoch 105/1000, Loss: 14.5437, Valid Loss: 17.4237
Epoch 106/1000, Loss: 14.0925, Valid Loss: 13.6578
Epoch 107/1000, Loss: 15.2983, Valid Loss: 14.6048
Epoch 108/1000, Loss: 14.3458, Valid Loss: 14.1095
Epoch 109/1000, Loss: 15.0125, Valid Loss: 15.8614
Epoch 110/1000, Loss: 14.8215, Valid Loss: 14.6659
Epoch 111/1000, Loss: 15.6041, Valid Loss: 21.5133
Epoch 112/1000, Loss: 14.0508, Valid Loss: 13.8768
Epoch 113/1000, Loss: 14.5518, Valid Loss: 15.5849
Epoch 114/1000, Loss: 14.8173, Valid Loss: 18.2993
Epoch 115/1000, Loss: 15.1576, Valid Loss: 13.1873
Epoch 116/1000, Loss: 15.1186, Valid Loss: 13.2936
Epoch 117/1000, Loss: 15.1192, Valid Loss: 12.8188
Epoch 118/1000, Loss: 15.3937, Valid Loss: 15.8425
Epoch 119/1000, Loss: 15.2041, Valid Loss: 11.9266
Epoch 120/1000, Loss: 15.0835, Valid Loss: 14.3310
Epoch 121/1000, Loss: 14.9380, Valid Loss: 14.1330
Epoch 122/1000, Loss: 14.7215, Valid Loss: 14.4338
Epoch 123/1000, Loss: 15.7186, Valid Loss: 12.6647
Epoch 124/1000, Loss: 14.4421, Valid Loss: 18.2251
Epoch 125/1000, Loss: 15.7361, Valid Loss: 12.0481
Epoch 126/1000, Loss: 16.7027, Valid Loss: 16.2808
Epoch 127/1000, Loss: 14.8287, Valid Loss: 15.4277
Epoch 128/1000, Loss: 14.2681, Valid Loss: 11.4022
Epoch 129/1000, Loss: 16.6183, Valid Loss: 16.1503
Epoch 130/1000, Loss: 15.8316, Valid Loss: 13.7987
Epoch 131/1000, Loss: 15.2037, Valid Loss: 13.4119
Epoch 132/1000, Loss: 15.4488, Valid Loss: 19.5686
Epoch 133/1000, Loss: 14.6963, Valid Loss: 15.0542
Epoch 134/1000, Loss: 15.5604, Valid Loss: 12.2265
Epoch 135/1000, Loss: 13.6783, Valid Loss: 13.7753
Epoch 136/1000, Loss: 15.6419, Valid Loss: 12.7270
Epoch 137/1000, Loss: 14.4175, Valid Loss: 12.9883
Epoch 138/1000, Loss: 14.3527, Valid Loss: 11.4241
Epoch 139/1000, Loss: 15.0965, Valid Loss: 12.0026
Epoch 140/1000, Loss: 14.7360, Valid Loss: 14.6617
Epoch 141/1000, Loss: 14.7000, Valid Loss: 16.7623
Epoch 142/1000, Loss: 14.7275, Valid Loss: 14.5725
Epoch 143/1000, Loss: 14.2091, Valid Loss: 13.1804
Epoch 144/1000, Loss: 15.7006, Valid Loss: 16.1147
Epoch 145/1000, Loss: 15.6497, Valid Loss: 14.1054
Epoch 146/1000, Loss: 14.5482, Valid Loss: 13.9699
Epoch 147/1000, Loss: 15.6124, Valid Loss: 14.0913
Epoch 148/1000, Loss: 14.7117, Valid Loss: 14.2246
Epoch 149/1000, Loss: 15.7086, Valid Loss: 12.8775
Epoch 150/1000, Loss: 14.1146, Valid Loss: 13.1880
Epoch 151/1000, Loss: 16.0091, Valid Loss: 15.9822
Epoch 152/1000, Loss: 14.4434, Valid Loss: 14.5408
Epoch 153/1000, Loss: 14.1180, Valid Loss: 14.0704
Epoch 154/1000, Loss: 14.8823, Valid Loss: 17.6773
Epoch 155/1000, Loss: 15.3696, Valid Loss: 15.4521
Epoch 156/1000, Loss: 14.8264, Valid Loss: 14.6918
Epoch 157/1000, Loss: 14.7171, Valid Loss: 17.0647
Epoch 158/1000, Loss: 14.7049, Valid Loss: 13.6415
Epoch 159/1000, Loss: 14.8080, Valid Loss: 14.2741
Epoch 160/1000, Loss: 15.4513, Valid Loss: 12.7168
Epoch 161/1000, Loss: 15.0689, Valid Loss: 16.0173
Epoch 162/1000, Loss: 15.3164, Valid Loss: 11.6869
Epoch 163/1000, Loss: 14.4987, Valid Loss: 14.6484
Epoch 164/1000, Loss: 14.5444, Valid Loss: 15.7361
